21.9,24.8,28.3,5.3,5.3,7.7,
27.6,36.4,36.1,6,7.7,7.9,
29.1,33.9,37.1,5.4,5.3,5.7,
26.7,34,39.4,4.3,4.5,5.5,
23.5,34.9,41.6,3.5,4.6,5.4,
20.2,34.9,44.9,3.3,4.5,5.8,
17.6,33.7,48.8,2.6,4.2,5.4,
16.1,32.9,51.1,1.9,3.1,3.8,
15.2,32.3,52.6,1.7,2.8,3.6,
6.6,16.4,27,0.7,1,1,
3.6,8.2,13.2,0.5,0.6,0.9,
3.5,8,13.5,0.2,0.5,0.6,

0,0,0,0,0,0,
21.3,21.7,32.1,3.8,4.6,5.7,
26.7,31.1,42.3,5.7,6.7,7.2,
25.3,31.9,42.8,4.6,5.1,5.9,
22.8,32.7,44.6,4,5.3,6.5,
20.3,32.9,46.9,3.2,5.1,6.3,
17.8,31.9,50.4,2.4,4.5,5.6,
16,30.4,53.6,1.9,3.8,4.6,
15.3,29.6,55.3,1.6,3.4,4.1,
14.8,28.8,56.5,1.5,3.3,3.9,
6.9,14.2,29,0.7,1.7,2,
3.4,7.2,14.5,0.4,0.7,0.9,
