1,55.25,5,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,

0.258,35.8,4,1,12.275,1.4,0,0,0,0,0,0,
0.372,43.175,4.525,0,0,0,0,0,0,0,0,0,
0.37,56.55,3.375,0,0,0,0,0,0,0,0,0,

0.46,29.725,2.5,0.16,40.425,7.525,0.671,12.625,0.875,0,0,0,
0.331,24.675,1.65,0.533,63.45,5.925,0.251,11.275,1.25,0,0,0,
0.209,19.35,0.325,0.307,63.625,2.9,0.078,14.5,0.7,0,0,0,

0.749,32.075,1.65,0.181,47.625,5.45,1,12.1,1.05,1,12.125,1,
0.251,17.775,0.55,0.819,55.7,3.175,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
